tweet_id,favorites,retweets,user_followers,user_favourites,date_time
878057613040115712,38817,6059,8878861,145866,2017-06-23 01:10:23+00:00
877736472329191424,72932,16854,8878861,145866,2017-06-22 03:54:17+00:00
877611172832227328,0,71,8878861,145866,2017-06-21 19:36:23+00:00
877556246731214848,20932,3394,8878861,145866,2017-06-21 15:58:08+00:00
877316821321428993,25298,4646,8878861,145866,2017-06-21 00:06:44+00:00
877201837425926144,24993,4959,8878861,145866,2017-06-20 16:29:50+00:00
876838120628539392,19090,2976,8878861,145866,2017-06-19 16:24:33+00:00
876537666061221889,21900,4193,8878861,145866,2017-06-18 20:30:39+00:00
876484053909872640,17342,2111,8878861,145866,2017-06-18 16:57:37+00:00
876120275196170240,25843,4161,8878861,145866,2017-06-17 16:52:05+00:00
875747767867523072,23178,3815,8878861,145866,2017-06-16 16:11:53+00:00
875144289856114688,20262,4389,8878861,145866,2017-06-15 00:13:52+00:00
875097192612077568,25350,5443,8878861,145866,2017-06-14 21:06:43+00:00
875021211251597312,23566,4214,8878861,145866,2017-06-14 16:04:48+00:00
874680097055178752,25710,4146,8878861,145866,2017-06-13 17:29:20+00:00
874434818259525634,0,12991,8878861,145866,2017-06-13 01:14:41+00:00
874296783580663808,24074,3698,8878861,145866,2017-06-12 16:06:11+00:00
874057562936811520,21011,3564,8878861,145866,2017-06-12 00:15:36+00:00
874012996292530176,31622,9138,8878861,145866,2017-06-11 21:18:31+00:00
873580283840344065,22411,3536,8878861,145866,2017-06-10 16:39:04+00:00
873337748698140672,0,1418,8878861,145866,2017-06-10 00:35:19+00:00
873213775632977920,6622,1418,8878861,145866,2017-06-09 16:22:42+00:00
872967104147763200,25211,4856,8878861,145866,2017-06-09 00:02:31+00:00
872820683541237760,13646,3342,8878861,145866,2017-06-08 14:20:41+00:00
872620804844003328,19193,3270,8878861,145866,2017-06-08 01:06:27+00:00
872486979161796608,37783,8133,8878861,145866,2017-06-07 16:14:40+00:00
872122724285648897,31729,7277,8878861,145866,2017-06-06 16:07:15+00:00
871879754684805121,34775,9821,8878861,145866,2017-06-06 00:01:46+00:00
871762521631449091,18741,3136,8878861,145866,2017-06-05 16:15:56+00:00
871515927908634625,18728,3127,8878861,145866,2017-06-04 23:56:03+00:00
871166179821445120,0,5144,8878861,145866,2017-06-04 00:46:17+00:00
871102520638267392,19422,4972,8878861,145866,2017-06-03 20:33:19+00:00
871032628920680449,21113,3434,8878861,145866,2017-06-03 15:55:36+00:00
870804317367881728,31267,5587,8878861,145866,2017-06-03 00:48:22+00:00
870726314365509632,113,3,8878861,145866,2017-06-02 19:38:25+00:00
